id,pair,sex,l_fem,r_fem,l_tib,r_tib,tot_abdo,thorax,eggs,mated,avgfem,avgtib,lnthor,lnab,lnfem,lntib
20, ,m,3.466,3.335,2.877,2.851,6.11,2.542, ,0,3.4005,2.864,.932951172767262,1.8099267731835,1.22392247963356,1.0522192490984
22,9,m,3.435,3.435,3.057,3.057,6.433,2.948, ,1,3.435,3.057,1.08112697432709,1.86144099242886,1.23401692567431,1.1174340429087
23, ,m,3.694,3.656,3.244,3.239,6.275,2.844, ,0,3.675,3.2415,1.04521151194099,1.83657348501785,1.3015531326648,1.17603618563291
24, ,m,3.371,3.371,3.002,3.002,5.732,2.872, ,0,3.371,3.002,1.05500865118598,1.74606450996593,1.21520943625192,1.09927873321127
26, ,m,3.681,3.612,3.187,3.163,6.167,2.853, ,0,3.6465,3.175,1.04837107223136,1.81921249600936,1.29376780344215,1.15530763234466
27, ,m,3.829,3.81,3.41,3.406,6.477,2.945, ,0,3.8195,3.408,1.08010881710355,1.86825744020078,1.34011952399928,1.22612560896707
29,10,m,3.665,3.647,3.175,3.162,6.496,2.74, ,1,3.656,3.1685,1.00795792039998,1.87118660285938,1.2963696535919,1.15325828978143
31, ,m,3.705,3.696,3.265,3.222,6.296,2.873, ,0,3.7005,3.2435,1.05535677999715,1.8399145111151,1.30846794565538,1.17665299367097
32, ,m,3.862,3.865,3.218,3.25,6.413,2.986, ,0,3.8635,3.234,1.093934699117,1.85832718016673,1.3515735083915,1.17371976115492
34, ,m,3.357, ,2.91, ,5.868,2.48, ,0,3.357,2.91,.908258560176891,1.76951386028074,1.2110477179979,1.0681530811834
35, ,m,3.515,3.372,3.137,3.064,5.905,2.881, ,0,3.4435,3.1005,1.05813745610239,1.77579944964933,1.23648839600262,1.1315633888078
38,11,m,3.558, ,3.056,3.087,6.107,2.89, ,1,3.558,3.0715,1.06125650212434,1.809435654241,1.26919858924364,1.12216604162185
39,12,m,3.49,3.52,2.979,3.01,6.106,2.695, ,1,3.505,2.9945,.99139820436096,1.80927189431269,1.25419052048655,1.09677727272238
42,13,m,3.723,3.725,3.238,3.238,6.462,2.939, ,1,3.724,3.238,1.07806938743678,1.86593886740231,1.31479835941482,1.17495585525544
43,14,m,3.543,3.578,2.909,3.018,6.376,3.082, ,1,3.5605,2.9635,1.12557873689792,1.85254094148791,1.26990098444004,1.08637100224576
46,15,m, ,3.26,2.938,2.962,5.713,2.779, ,1,3.26,2.95,1.02209115076037,1.74274427974233,1.18172719537862,1.08180517035173
49, ,m,3.759,3.698,3.11,3.106,6.329,3.023, ,0,3.7285,3.108,1.10624971579732,1.84514224579317,1.31600600800171,1.1339794325054
52, ,m,3.827,3.821,3.181,3.109,6.306,3.004, ,0,3.824,3.145,1.09994473390189,1.84150156112287,1.34129699518915,1.1458138901524
54,16,m,3.501,3.583,2.854,3.047,6.36,2.713, ,1,3.542,2.9505,.998055033676795,1.85002837735203,1.26469153936064,1.08197464751509
55, ,m,3.642, ,3.063, ,6.506,2.595, ,0,3.642,3.063,.953586516617852,1.87272482805116,1.29253298130542,1.11939482785064
56, ,m,3.339,3.33,2.806,2.802,5.987,2.287, ,0,3.3345,2.804,.827240915040644,1.78959045194322,1.20432274309022,1.03104696917234
58,17,m,3.71,3.687,3.207,3.215,6.268,2.854, ,1,3.6985,3.211,1.04872151905464,1.83545732449377,1.30792733204579,1.16658241510738
62, ,m,3.748,3.717,3.199,3.222,6.547,3.047, ,0,3.7325,3.2105,1.11415750000357,1.87900692945895,1.31707825043121,1.16642668825197
63, ,m,3.593,3.597,3.052,3.085,6.002,2.919, ,0,3.595,3.0685,1.07124109187198,1.79209274701818,1.27954399117301,1.12118884284701
64, ,m,3.341,3.332,2.791,2.842,5.855,2.603, ,0,3.3365,2.8165,.956664626012428,1.76729599704968,1.20492235336152,1.03549497935263
68, ,m,3.518,3.523,3.012,3.058,6.319,2.814, ,0,3.5205,3.035,1.0346069586922,1.84356096779132,1.25860302497705,1.11021142451146
69, ,m,3.397,3.321,2.748,2.77,5.831,2.721, ,0,3.359,2.759,1.00099945980111,1.76318851224002,1.21164331063016,1.01486829523515
70, ,m,3.846,3.875,3.309,3.297,6.622,2.907, ,0,3.8605,3.303,1.06712162157674,1.89039743912505,1.35079670876673,1.19483114640865
72, ,m,3.438,3.533,2.945,2.879,5.8,2.733, ,0,3.4855,2.912,1.00539990694593,1.75785791755237,1.24861150594432,1.06884013033444
73, ,m,3.589,3.611,3.051,2.913,6.221,2.733, ,0,3.6,2.982,1.00539990694593,1.82793066553288,1.28093384546206,1.09259421634255
75,18,m,3.726,3.773,3.178,3.15,5.919,2.936, ,1,3.7495,3.164,1.07704811075227,1.77816751570859,1.32162249775931,1.15183704990541
77,19,m,3.561,3.582,3.126,3.1,6.34,2.723, ,1,3.5715,3.113,1.00173421369162,1.84687876844913,1.27298567561289,1.13558689145947
81, ,m,3.93,3.984,3.267,3.232,6.938,3.035, ,0,3.957,3.2495,1.11021142451146,1.93701354854756,1.37548616240329,1.17850113835227
82, ,m,3.828,3.842,3.25,3.288,6.532,3.007, ,0,3.835,3.269,1.10094290400639,1.87671317510822,1.34416943481922,1.18448412774207
84, ,m,3.7,3.662,3.286,3.244,6.106,2.855, ,0,3.681,3.265,1.04907184310797,1.80927189431269,1.30318445439688,1.18325976272839
86,20,m,3.694,3.652,3.195,3.101,6.468,2.889, ,1,3.673,3.148,1.0609104214841,1.86686694171486,1.30100876683753,1.14676733055516
88, ,m,3.712,3.699,3.208, ,6.139,2.912, ,0,3.7055,3.208,1.06884013033444,1.81466186244536,1.30981820240928,1.16564769000427
89, ,m,3.316,3.243,2.804,2.828,5.585,2.538, ,0,3.2795,2.816,.931376369292196,1.72008443252116,1.18769097175165,1.0353174382958
